nid,iso3,year_start,t_type,sdg,flag_for_review,notes,concatenated,t_type_var,sewage_var,re_extraction_needed,proposed_change,sdg_logged_2019_12_19
2063,CMR,2006,chasse branchee a autre chose,flush_unimp,,,,,,,,flush_unimp
2063,CMR,2006,chasse branchee a egout,flush_imp_sewer,,,,,,,,flush_imp_sewer
2063,CMR,2006,chasse branchee a fosse septique,flush_imp_septic,,,,,,,,flush_imp_septic
2063,CMR,2006,chasse branchee aux latrines,latrine_imp,,,,,,,,latrine_imp
2063,CMR,2006,latrines a fosses/trou ouvert,latrine_unimp,,,,,,,,latrine_unimp
2063,CMR,2006,latrines ameliorees auto aerees (laa),latrine_imp,,,,,,,,latrine_imp
2063,CMR,2006,latrines couvertes,latrine_imp,,,,,,,,latrine_imp
2063,CMR,2006,manquant,,,,,,,,,
2063,CMR,2006,pas de toilettes ou brousse ou champ,open,,,,,,,,open
2063,CMR,2006,seaux/tinettes,unimp,,,,,,,,unimp
2209,CAF,2000,autres,,,,,,,,,
2209,CAF,2000,chasse d'eau avec egouts ou avec fosse sceptique,flush_imp_septic,,,,,,,,flush_imp_septic
2209,CAF,2000,latrines a evacuation,latrine_cw,,,,,,,,latrine_cw
2209,CAF,2000,latrines ameliorees a ventillation,latrine_imp,,,,,,,,latrine_imp
2209,CAF,2000,latrines traditionnelle ameliorees,latrine_imp,,,,,,,,latrine_imp
2209,CAF,2000,latrines traditionnelles,latrine_cw,,,,,,,,latrine_cw
2209,CAF,2000,pas de toilettes ou brousse ou champ,open,,,,,,,,open
2209,CAF,2000,seau,unimp,,,,,,,,unimp
2209,CAF,2000,trou ouvert,latrine_unimp,,,,,,,,latrine_unimp
2223,CAF,2006,autres,,,,,,,,,
2223,CAF,2006,chasse branchee a autre chose,flush_unimp,,,,,,,,flush_unimp
2223,CAF,2006,chasse branchee a endroit inconnu,flush_imp,,,,,,,,flush_imp
2223,CAF,2006,chasse branchee a fosse septique,flush_imp_septic,,,,,,,,flush_imp_septic
2223,CAF,2006,chasse branchee a l'egout,flush_imp_sewer,,,,,,,,flush_imp_sewer
2223,CAF,2006,chasse branchee a latrines,latrine_imp,,,,,,,,latrine_imp
2223,CAF,2006,latrines a fosses/trou ouvert,latrine_unimp,,,,,,,,latrine_unimp
2223,CAF,2006,latrines ameliorees auto aerees (laa),latrine_imp,,,,,,,,latrine_imp
2223,CAF,2006,latrines couvertes,latrine_imp,,,,,,,,latrine_imp
2223,CAF,2006,manquant,,,,,,,,,
2223,CAF,2006,pas de toilettes ou brousse ou champ,open,,,,,,,,open
2223,CAF,2006,seaux/tinettes,unimp,,,,,,,,unimp
2223,CAF,2006,toilettes a compostage,imp,,,,,,,,imp
2223,CAF,2006,toilettes suspendues/latrines suspendues,unimp,,,,,,,,unimp
2244,TCD,2000,latrine traditionnelle,latrine_cw,,,,,,,,latrine_cw
2244,TCD,2000,latrine  ventilation,latrine_imp,,,,,,,,latrine_imp
2244,TCD,2000,latrine  vacuation,latrine_cw,,,,,,,,latrine_cw
2244,TCD,2000,manquant,,,,,,,,,
2244,TCD,2000,pas de toilette/nature,open,,,,,,,,open
2244,TCD,2000,toilette  chasse d'eau,flush_cw,,,,,,,,flush_cw
2244,TCD,2000,trou ouvert,latrine_unimp,,,,,,,,latrine_unimp
2347,CHN,2004,cement open pit,latrine_unimp,,,,,,,,latrine_unimp
2347,CHN,2004,earth open pit,latrine_unimp,,,,,,,,latrine_unimp
2347,CHN,2004,"inside house, flush",flush_cw,,,,,,,,flush_cw
2347,CHN,2004,"inside house, no flush",latrine_cw,,,,,,,,latrine_cw
2347,CHN,2004,no bathroom,open,,,,,,,,open
2347,CHN,2004,other,,,,,,,,,
2347,CHN,2004,"outside house, flush",flush_cw,,,,,,,,flush_cw
2347,CHN,2004,"outside house, no flush",latrine_cw,,,,,,,,latrine_cw
2531,CHN,2000,cement open pit,latrine_unimp,,,,,,,,latrine_unimp
2531,CHN,2000,earth open pit,latrine_unimp,,,,,,,,latrine_unimp
2531,CHN,2000,"inside house, flush",flush_cw,,,,,,,,flush_cw
2531,CHN,2000,"inside house, no flush",latrine_cw,,,,,,,,latrine_cw
2531,CHN,2000,no bathroom,open,,,,,,,,open
2531,CHN,2000,other,,,,,,,,,
2531,CHN,2000,"outside house, flush",flush_cw,,,,,,,,flush_cw
2531,CHN,2000,"outside house, no flush",latrine_cw,,,,,,,,latrine_cw
2577,CHN,2006,cement open pit,latrine_unimp,,,,,,,,latrine_unimp
2577,CHN,2006,earth open pit,latrine_unimp,,,,,,,,latrine_unimp
2577,CHN,2006,"inside house, flush",flush_cw,,,,,,,,flush_cw
2577,CHN,2006,"inside house, no flush",latrine_cw,,,,,,,,latrine_cw
2577,CHN,2006,no bathroom,open,,,,,,,,open
2577,CHN,2006,other,,,,,,,,,
2577,CHN,2006,"outside house, flush",flush_cw,,,,,,,,flush_cw
2577,CHN,2006,"outside house, no flush",latrine_cw,,,,,,,,latrine_cw
3100,COL,2007,bajamar,open,,,,,,,,open
3100,COL,2007,inodoro conectado al alcantarillado,flush_imp_sewer,,,,,,,,flush_imp_sewer
3100,COL,2007,inodoro conectado al pozo séptico,flush_imp_septic,,,,,,,,flush_imp_septic
3100,COL,2007,inodoro sin conexión,flush_unimp,,,,,,,,flush_unimp
3100,COL,2007,"letrina (pozo negro, hoyo)",latrine_imp,,,,,,,,latrine_imp
3100,COL,2007,no tienen sanitario,open,,,,,,,,open
3114,COM,2000,autre,,,,,,,,,
3114,COM,2000,chase d'eau avec égout ou avec fosse septique,flush_imp_septic,,,,,,,,flush_imp_septic
3114,COM,2000,latrine améliorée à ventillation,latrine_imp,,,,,,,,latrine_imp
3114,COM,2000,latrine traditionnelle,latrine_cw,,,,,,,,latrine_cw
3114,COM,2000,latrine à évacuation,latrine_cw,,,,,,,,latrine_cw
3114,COM,2000,pas de toilette ou brousse ou champ,open,,,,,,,,open
3114,COM,2000,sceau,unimp,,,,,,,,unimp
3114,COM,2000,trou ouvert,latrine_unimp,,,,,,,,latrine_unimp
3133,COG,2009,flush toilet,flush_cw,,,,,,,,flush_cw
3133,COG,2009,improved pit latrine,latrine_imp,,,,,,,,latrine_imp
3133,COG,2009,"no facility, bush, field",open,,,,,,,,open
3133,COG,2009,other,,,,,,,,,
3133,COG,2009,traditional pit toilet,latrine_cw,,,,,,,,latrine_cw
3161,COD,2001,autres,,,,,,,,,
3161,COD,2001,chasse raccordee & l'egout,flush_imp_sewer,,,,,,,,flush_imp_sewer
3161,COD,2001,latrine  traditionnelles non couvertes,latrine_unimp,,,,,,,,latrine_unimp
3161,COD,2001,latrine a evacuation,latrine_cw,,,,,,,,latrine_cw
3161,COD,2001,latrines ameliorees a ventilation,latrine_imp,,,,,,,,latrine_imp
3161,COD,2001,latrines tradionnelle couertes,latrine_imp,,,,,,,,latrine_imp
3161,COD,2001,pas de toilettes ou brousse ou champ,open,,,,,,,,open
3161,COD,2001,trou ouvert,latrine_unimp,,,,,,,,latrine_unimp
3177,CRI,2005,alcantarilla o cloaca,flush_imp_sewer,,,,,,,,flush_imp_sewer
3177,CRI,2005,ignorado,,,,,,,,,
3177,CRI,2005,no tiene,open,,,,,,,,open
3177,CRI,2005,otro sistema,flush_unimp,,,,,,,,flush_unimp
3177,CRI,2005,pozo negro o letrina,latrine_imp,,,,,,,,latrine_imp
3177,CRI,2005,tanque séptico,flush_imp_septic,,,,,,,,flush_imp_septic
3180,CRI,2006,no tiene servicio sanitario,open,,,,,,,,open
3180,CRI,2006,servicio sanitario con otro sistema,flush_unimp,,,,,,,,flush_unimp
3180,CRI,2006,servicio sanitario conectado a alcantarilla o cloaca,flush_imp_sewer,,,,,,,,flush_imp_sewer
3180,CRI,2006,servicio sanitario conectado a tanque sã©ptico,flush_imp_septic,,,,,,,,flush_imp_septic
3180,CRI,2006,servicio sanitario de pozo negro o letrina,latrine_imp,,,,,,,,latrine_imp
3183,CRI,2007,con otro sistema,flush_unimp,,,,,,,,flush_unimp
3183,CRI,2007,conectado a alcantarilla o cloaca,flush_imp_sewer,,,,,,,,flush_imp_sewer
3183,CRI,2007,conectado a tanque séptico,flush_imp_septic,,,,,,,,flush_imp_septic
3183,CRI,2007,ignorado,,,,,,,,,
3183,CRI,2007,no tiene,open,,,,,,,,open
3183,CRI,2007,un pozo negro o letrina,latrine_imp,,,,,,,,latrine_imp
3209,CRI,2001,no tiene servicio sanitario,open,,,,,,,,open
3209,CRI,2001,servicio sanitario con otro sistema,flush_unimp,,,,,,,,flush_unimp
3209,CRI,2001,servicio sanitario conectado a alcantarilla o cloaca,flush_imp_sewer,,,,,,,,flush_imp_sewer
3209,CRI,2001,servicio sanitario conectado a tanque sã©ptico,flush_imp_septic,,,,,,,,flush_imp_septic
3209,CRI,2001,servicio sanitario de pozo negro o letrina,latrine_imp,,,,,,,,latrine_imp
3212,CRI,2002,alcantarilla o cloaca,flush_imp_sewer,,,,,,,,flush_imp_sewer
3212,CRI,2002,ignorado,,,,,,,,,
3212,CRI,2002,no tiene,open,,,,,,,,open
3212,CRI,2002,otro sistema,flush_unimp,,,,,,,,flush_unimp
3212,CRI,2002,pozo negro o letrina,latrine_imp,,,,,,,,latrine_imp
3212,CRI,2002,tanque séptico,flush_imp_septic,,,,,,,,flush_imp_septic
3215,CRI,2004,alcantarilla o cloaca,flush_imp_sewer,,,,,,,,flush_imp_sewer
3215,CRI,2004,ignorado,,,,,,,,,
3215,CRI,2004,no tiene,open,,,,,,,,open
3215,CRI,2004,otro sistema,flush_unimp,,,,,,,,flush_unimp
3215,CRI,2004,pozo negro o letrina,latrine_imp,,,,,,,,latrine_imp
3215,CRI,2004,tanque séptico,flush_imp_septic,,,,,,,,flush_imp_septic
3218,CRI,2003,no tiene servicio sanitario,open,,,,,,,,open
3218,CRI,2003,servicio sanitario con otro sistema,flush_unimp,,,,,,,,flush_unimp
3218,CRI,2003,servicio sanitario conectado a alcantarilla o cloaca,flush_imp_sewer,,,,,,,,flush_imp_sewer
3218,CRI,2003,servicio sanitario conectado a tanque sã©ptico,flush_imp_septic,,,,,,,,flush_imp_septic
3218,CRI,2003,servicio sanitario de pozo negro o letrina,latrine_imp,,,,,,,,latrine_imp
3310,CUB,2006,"balde, cubeta",unimp,,,,,,,,unimp
3310,CUB,2006,evacuación a alcantarillado,flush_imp_sewer,,,,,,,,flush_imp_sewer
3310,CUB,2006,evacuación a letrina,latrine_imp,,,,,,,,latrine_imp
3310,CUB,2006,evacuación a otro lugar,latrine_cw,,,,,,,,latrine_cw
3310,CUB,2006,evacuación a pozo séptico,flush_imp_septic,,,,,,,,flush_imp_septic
3310,CUB,2006,letrina abierta,latrine_unimp,,,,,,,,latrine_unimp
3310,CUB,2006,letrina con taza/excusado,latrine_imp,,,,,,,,latrine_imp
3310,CUB,2006,letrina ventilada/mejorada,latrine_imp,,,,,,,,latrine_imp
3310,CUB,2006,otro,,,,,,,,,
3310,CUB,2006,"sin toilet, campo",open,,,,,,,,open
3310,CUB,2006,toilet colgante,unimp,,,,,,,,unimp
3310,CUB,2006,toilet para compostación (fertilizante),imp,,,,,,,,imp
3404,DJI,2006,autres,,,,,,,,,
3404,DJI,2006,chasse branchee a autre chose,flush_unimp,,,,,,,,flush_unimp
